assetId,ticker,name,assetClass,region,sourceSymbol,provider,listingExchange,listingCurrency,exposureCurrency,returnCurrency,fxTreatment,isCurrencyHedged,isin,domicile,category,distributionPolicy,replicationMethod,inceptionDate,aum,terAnnual,terAsOf,terSource,proxyAssetId,proxySpliceDate,proxyMethod,proxyRationale
GLD,GLD,SPDR Gold Shares,commodity,us,GLD,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2004-11-18,131613,,,,GC=F,2004-11-18,asset-class-proxy,"GC=F (COMEX gold futures) extends GLD's history back to 2000-08-30; return series match exactly (correlation 1.0000) over the overlapping period, confirming GC=F was the source."
GOVT,GOVT,iShares U.S. Treasury Bond ETF,bond,us,GOVT,yahoo-finance-chart-api,Cboe US,USD,USD,USD,unhedged,False,,,,,,2012-02-24,,,,,,,,
GREK,GREK,Global X MSCI Greece ETF,equity,global,GREK,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2011-12-08,,,,,,,,
GRN,GRN,iPath Series B Carbon ETN,equity,us,GRN,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2019-09-18,,,,,,,,
GSG,GSG,iShares S&P GSCI Commodity-Indexed Trust,commodity,us,GSG,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2006-07-21,10000,,,,^SPGSCI,2006-07-21,index-level-backfill,^SPGSCI (the S&P GSCI index GSG itself tracks) extends GSG's history back to 1984-01-03; return series match exactly (correlation 1.0000) over the overlapping period.
HGER,HGER,Harbor Commodity All-Weather Strategy ETF,commodity,us,HGER,yahoo-finance-chart-api,NYSE,USD,USD,USD,unhedged,False,,,,,,2022-02-10,3250,,,,,,,
HODL,HODL,VanEck Bitcoin ETF,crypto,us,HODL,yahoo-finance-chart-api,Cboe US,USD,USD,USD,unhedged,False,,,,,,2024-01-11,,,,,,,,
HYG,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,bond,us,HYG,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2007-04-11,17000,,,,VWEHX,2007-04-11,asset-class-proxy,VWEHX (Vanguard High-Yield Corporate Fund) extends HYG's history back to 1980-01-02; return series match exactly (correlation 1.0000) over the overlapping period.
HYLB,HYLB,Xtrackers USD High Yield Corporate Bond ETF,bond,us,HYLB,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2016-12-13,,,,,,,,
IAU,IAU,iShares Gold Trust,commodity,us,IAU,yahoo-finance-chart-api,NYSEArca,USD,USD,USD,unhedged,False,,,,,,2005-01-28,,,,,,,,
IBIT,IBIT,iShares Bitcoin Trust ETF,crypto,us,IBIT,yahoo-finance-chart-api,NasdaqGM,USD,USD,USD,unhedged,False,,,,,,2024-01-11,43933,,,,,,,
ICVT,ICVT,iShares Convertible Bond ETF,bond,us,ICVT,yahoo-finance-chart-api,Cboe US,USD,USD,USD,unhedged,False,,,,,,2015-06-04,7480,,,,,,,
